,player_id,age,player_height,player_weight,college,country,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
0,1,37.0,205.74,104.32616,Texas Christian,USA,70,3.0,4.2,0.7,-5.2,0.084,0.237,0.114,0.489,0.069
1,2,33.0,160.02,63.956472,Wake Forest,USA,61,5.7,2.2,5.4,-8.4,0.02,0.07400000000000001,0.129,0.4920000000000001,0.344
2,3,27.0,193.04,95.25431999999999,Indiana,USA,36,18.8,5.6,5.2,5.6,0.018000000000000002,0.154,0.278,0.519,0.25
3,4,21.0,195.58,99.79024,Cincinnati,USA,42,2.5,1.3,1.1,-4.2,0.03,0.115,0.171,0.4,0.174
4,5,23.0,215.9,122.46984,None,USA,26,3.3,3.4,0.3,-7.8,0.069,0.221,0.112,0.551,0.037000000000000005
5,6,23.0,187.96,85.275296,West Florida,USA,8,1.5,1.5,2.9,-30.5,0.038,0.105,0.149,0.248,0.418
6,7,26.0,190.5,91.171992,Detroit Mercy,USA,74,12.4,2.5,2.0,-1.2,0.019,0.091,0.238,0.4920000000000001,0.124
7,8,27.0,200.66,99.79024,Southern California,USA,74,27.3,5.2,3.9,3.3,0.03,0.134,0.342,0.552,0.204
8,9,32.0,210.82,113.398,Auburn,Ireland,42,3.4,1.7,0.4,-4.9,0.067,0.147,0.213,0.517,0.071
9,10,28.0,208.28,117.93392,Washington State,Australia,70,6.6,4.5,0.5,6.8,0.114,0.206,0.17600000000000002,0.618,0.049
10,11,24.0,198.12,101.151016,San Jose State,France,49,9.3,3.8,1.0,-2.7,0.062,0.098,0.188,0.486,0.062
11,12,23.0,193.04,90.7184,Duke,USA,67,8.9,1.9,1.5,-2.1,0.016,0.08,0.195,0.523,0.116
12,13,22.0,203.2,109.31567199999999,Arizona,USA,78,12.0,5.5,0.6,-5.3,0.056,0.205,0.237,0.515,0.044
13,14,25.0,210.82,104.32616,None,Serbia and Montenegro,61,3.3,1.8,0.3,-11.5,0.081,0.187,0.222,0.472,0.069
14,15,33.0,193.04,98.883056,Villanova,USA,69,5.2,2.2,2.0,-7.0,0.006999999999999999,0.124,0.145,0.506,0.153
